ASIN,Reviewer Name,Reviewer Star,Reviewer Date,Year,Reviewer Summary,
B06ZZ8Y89F,K. Eshed,5.0 out of 5 stars,22-Feb,2018,I tested this with the included Li-ion cells and with a pair of AA Energizer LiMH rechargeables and it worked perfectly for both pairs.  (Life tip: DON'T try to recharge Energizer lithium batteries in ANY charger unless the batteries are specifically labeled as RECHARGEABLE. They will explode.)This charger also has an unexpected capability built in.  It can function as a battery pack to recharge your USB devices.  I don't think I will ever use this feature but I tested it anyway with the included cells.  It works well but one little nit I had with it was that only the left battery slot provides power.  When that battery was depleted I had to switch the right one to the left slot to continue charging.  I don't know if this is unique to the device I have or if it is in the design for the product.  I considered dropping half a star from my review for it but Amazon doesn't do half-stars and I can't drop a full star for a novelty feature that I will never actually use.,
B06ZZ8Y89F,TheGeekyCustomer,5.0 out of 5 stars,19-Feb,2018,This is a different take on the drab charger for the rechargeable batteries.PROS -1. Better LED Display allowing for much better understanding of Charge level as well as battery conditioning.2. Acts as a Powerbank in a pinch.3. Smart Selection of Charging mode. Think of Rapid charging for batteries.4. Avoids OverchargingCONS -1. Only two batteries can be charged at a time.2. There's no wall Plug included.Essentially this is a charger for two  AA AAA AAAA or C batteries. Unlike traditional chargers which feature a built in wall plug this item has a wire with a USB to MicroUSB conversion. Under normal usage it will be plugged into wall via a USB charger plug (Not Included). In a pinch you could plug the USB end of the wire into the full USB port on the device and plug the microusb end into your phone. In such a case you will be required to put in two C Rechargeable batteries included.Similar to Qi Rapid chargers for android phones (Lightning chargers for iPhone) this device determines charging current based on charge left on the batteries. This is rather innovative and reduces the charge times. There's also a Conditioning Mode which can resuscitate dying rechargeable batteries. Mind you I have not tested that part as yet.,
B06ZZ8Y89F,CHRIS DEMEO,5.0 out of 5 stars,31-Jul,2018,both two works great,
B06ZZ8Y89F,Cerberus,4.0 out of 5 stars,8-Sep,2018,This multi-type battery recharger charges two rechargeable batteries (Li-Ion NiCad etc.) of AA or AAA size or 18650 size using spring-loaded battery holders.  The charger has circuitry to detect the battery type to avoid overcharging which is very important to prevent battery case rupture or combustion.  In addition the charge has battery charge completion indicators (using blue LEDs) for each battery to enable the user to visually see the status of the charging process.  This charger is designed to be powered from a 5 vdc USB port on a PC or Mac.  Another interesting feature is that the charger with charged batteries can be used as a battery extender; i.e. it can charge other devices plugged into it after being removed from the USB power source.  The build quality is sufficient for its intended home-use design and for that reason I give it four stars.  A fifth star would be possible with a more robust design.  The charger unit cannot be plugged into a 110 VAC wall outlet; just the 5vdc USB power source.I purchased the charger with two 18650 style batteries that I use for my work flashlight.  So far the batteries seem to be acceptable but I've only charged them once so far and their lifespan in terms of number of charge cycles has yet to be verified.  The batteries are rated at 3200mAH each which is typical for this style.  Beware of any current technology 18650 battery on the market that claims higher charge capacity than 3200 mAH.  Fortunately the two batteries that came with the Victagen charger seem to be labeled honestly.  For these reasons I recommend the Victagen charger with two 18650 3200 MAH batteries.  Check the price but the old adage you get what you pay for is true here too.,
B06ZZ8Y89F,Everstar,5.0 out of 5 stars,19-Jul,2018,So I have a bunch of lithium ion chargers and a couple nimh/nicd chargers in my office. I didn't even think of looking for something like this but then stumbled on it while browsing Amazon. This charges lithium ion (of all sizes) and my nimh and nicd! There's a mode that displays that - indeed - it has detected the type of battery in the slot. You can change the current charge rate from 1A to .5A and one of the neatest features you can use this as a mobile device battery backup with a cell in the first slot. The LEDs show what the charge is at on each cell.Definitely worth it!,
B06ZZ8Y89F,Brad holder,5.0 out of 5 stars,22-Mar,2018,Great product very cool that it allows for charging different types of batteries at the same time. Added bonus with the power pack capability. Another perk you don't have to program it!,
B06ZZ8Y89F,kelisuccess-1,5.0 out of 5 stars,28-Feb,2018,,
B06ZZ8Y89F,Walkingdad_88,5.0 out of 5 stars,4-May,2018,,
B06ZZ8Y89F,OldPhart4u,4.0 out of 5 stars,11-Aug,2018,This is a fairly simple dual bay charger that has been working well for a few days.  I bought it to replace an old Xtar VC2 I use in my tractor trailer to charge batteries for my vape devices.  The victagen is slightly smaller and lighter than the VC2.  (I use these on a magnetic phone mount attached to the dash)  I've charged 18650 and 26650 batteries with no problems.,
B06ZZ8Y89F,tg,4.0 out of 5 stars,9-Aug,2018,This product does good job overall.  the only complain I have is very typical with most chinese made products.  It is the cable.  The receptacle and over mold is always poorly made structurally mechanically and material.  During insertion is always little rough.  It's almost like the fitting isn't done correctly.  Classic bad tooling which cause the connector to have poor fitting.  Over molding materials and design is poorly done.  It still works one just have to be careful when handling the cable part of the device.,
